StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q15,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q9,Q10,Q10_7_TEXT,Q11,Q12,Q13,Q16
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Are you an undergraduate student at the University of Houston?,How many years have you been in college?,Which most aligns with what your current major is?,Did you vote in the March Primaries?,Select one (or more) of the reasons below that align with why you did not vote on campus for the March Primaries.,"Since the start of the 2025 - 2026 school year, have you attended a university town hall?","Since the start of the 2025 - 2026 school year, have you protested on campus or left from campus to","Since the start of the 2025 - 2026 school year, have you left campus to attend a protest?","Since the beginning of the Fall semester, how often have you… - Participated in organizations at UH that are civically aligned (e.g. Move Texas, Red Cross, Cougar Closet, Arts for Hearts, CRUSH, iCure, MedLife, SGA, etc.)","Since the beginning of the Fall semester, how often have you… - Engaged in political discourse with peers on campus","Since the beginning of the Fall semester, how often have you… - Spent time with friends or peers on campus","Since the beginning of the Fall semester, how often have you… - Engaged in community-strengthening events on campus (e.g., resident hall events, college mixers, university-led events, etc.)","Since the beginning of the Fall semester, how often have you… - Engaged in volunteering off-campus (civically / community based)",Do you currently reside on-campus or off-campus?,What is your primary mode of transportation to campus? - Selected Choice,What is your primary mode of transportation to campus? - Other - Text,"On an average day, what is your estimated total commute time (in minutes) traveling to and from campus?","While using METRO bus or rail, how many transfers does your commute require?",Do you own a private vehicle?,How often are you providing carpooling services to other UH students?
"{""ImportId"":""startDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""endDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID17""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID3_2""}","{""ImportId"":""QID3_3""}","{""ImportId"":""QID3_4""}","{""ImportId"":""QID3_6""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID5_7_TEXT""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID8""}","{""ImportId"":""QID18""}"
2026-04-15 13:44:38,2026-04-15 13:45:58,IP Address,100,80,True,2026-04-15 13:45:59,R_5zMV7VOGtlPnjdF,anonymous,EN,Yes,3 / 3rd year,Engineering,No,I do not feel strongly for politics/ voting,No,No,No,Not at all,Less than once a month,Basically every day,Basically every day,Once,On-campus,,,,,Yes,Less than once a month
2026-04-15 13:47:47,2026-04-15 13:48:58,IP Address,100,71,True,2026-04-15 13:48:59,R_7P9vj0sMI44ySJz,anonymous,EN,Yes,2 / 2nd year,Architecture,Yes,,No,No,No,Not at all,A few times a month,Basically every day,A few times a month,Not at all,On-campus,,,,,Yes,Not at all
2026-04-15 13:50:19,2026-04-15 13:51:17,IP Address,100,58,True,2026-04-15 13:51:18,R_6mSAqNeJMvcdiq5,social,EN,Yes,2 / 2nd year,Buisness,No,I chose not to vote,No,No,No,Not at all,Not at all,Basically every day,Basically every day,Not at all,On-campus,,,,,No,
2026-04-15 14:02:05,2026-04-15 14:04:06,IP Address,100,121,True,2026-04-15 14:04:07,R_5wxlVamdcV0L4Yh,anonymous,EN,Yes,2 / 2nd year,"Art, Music, Dance, Theater",No,I voted during Early Voting,No,No,No,Not at all,Not at all,A few times a week,Less than once a month,Once,On-campus,,,,,Yes,Not at all
2026-04-15 14:06:10,2026-04-15 14:08:05,IP Address,100,114,True,2026-04-15 14:08:06,R_7suW0fypVeWJt6E,anonymous,EN,Yes,3 / 3rd year,Engineering,Yes,,No,Yes,No,Not at all,Once a month,Basically every day,Not at all,Once a month,On-campus,,,,,Yes,Not at all
2026-04-15 14:20:40,2026-04-15 14:22:58,IP Address,100,138,True,2026-04-15 14:22:59,R_1s4rv8we7fsNJ74,anonymous,EN,Yes,3 / 3rd year,Natural Sciences and Mathematics,No,I chose not to vote,No,No,No,Not at all,Not at all,Basically every day,A few times a month,Once a month,On-campus,,,,,Yes,A few times a week
2026-04-15 15:12:16,2026-04-15 15:12:42,IP Address,100,25,True,2026-04-15 15:12:42,R_6Hxe8Ktz37QZ4UV,social,EN,,,,,,,,,,,,,,,,,,,,
2026-04-15 16:03:17,2026-04-15 16:05:26,IP Address,100,129,True,2026-04-15 16:05:27,R_7RPQttfyM7EXE5K,anonymous,EN,Yes,2 / 2nd year,Engineering,No,"I did not know the election was taking place,I did not commute to campus that day",No,No,No,Not at all,Once a month,Basically every day,Less than once a month,Less than once a month,Off-Campus,Personal Car,,35,,,
