Finished,ResponseId,Q1,Q2,Q3,Q3 ID,Q4,Q5,Q6,Q7,Q15,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q9,Q10,Q10_7_TEXT,Q11,Q12,Q13,Q16
True,R_5zMV7VOGtlPnjdF,1,3,Engineering,5,0,I do not feel strongly for politics/ voting,0,0,0,1,3,7,7,2,On-campus,NA,NA,NA,NA,1,Less than once a month
True,R_7P9vj0sMI44ySJz,1,2,Architecture,1,1,NA,0,0,0,1,5,7,5,1,On-campus,NA,NA,NA,NA,1,Not at all
True,R_6mSAqNeJMvcdiq5,1,2,Buisness,3,0,I chose not to vote,0,0,0,1,1,7,7,1,On-campus,NA,NA,NA,NA,0,NA
True,R_5wxlVamdcV0L4Yh,1,2,"Art, Music, Dance, Theater",2,0,I voted during Early Voting,0,0,0,1,1,6,3,2,On-campus,NA,NA,NA,NA,1,Not at all
True,R_7suW0fypVeWJt6E,1,3,Engineering,5,1,NA,0,1,0,1,4,7,1,4,On-campus,NA,NA,NA,NA,1,Not at all
True,R_1s4rv8we7fsNJ74,1,3,Natural Sciences and Mathematics,7,0,I chose not to vote,0,0,0,1,1,7,5,4,On-campus,NA,NA,NA,NA,1,A few times a week
True,R_7RPQttfyM7EXE5K,1,2,Engineering,5,0,"I did not know the election was taking place,I did not commute to campus that day",0,0,0,1,4,7,3,3,Off-Campus,Personal Car,NA,35,NA,NA,NA
True,R_1oAOC95pOmuyJaN,1,3,"Art, Music, Dance, Theater",2,0,"I voted at a another polling location,I voted during Early Voting",0,0,0,3,4,7,4,5,On-campus,NA,NA,NA,NA,1,Once a month
True,R_5m2lTvkxHIXiXKe,1,2,Engineering,5,0,"I chose not to vote,The line was too long",0,0,0,3,3,5,4,4,On-campus,NA,NA,NA,NA,0,NA
True,R_3mFa5wA1sV3wSMU,1,3,"Art, Music, Dance, Theater",2,0,"I voted at a another polling location,I voted during Early Voting",0,0,0,3,6,7,4,3,On-campus,NA,NA,NA,NA,0,NA
True,R_3nSHwmm3ijAyALz,1,2,Buisness,3,0,"I voted at a another polling location,I voted during Early Voting",0,0,0,1,2,7,3,1,Off-Campus,Personal Car,NA,40,NA,NA,NA
