Finished,ResponseId,Q1,Q9,Q10,Q10 ID,Q10_7_TEXT,Q11,Q12,Q13,Q16
True,R_5zMV7VOGtlPnjdF,Yes,1.0,,,,,,1.0,2.0
True,R_7P9vj0sMI44ySJz,Yes,1.0,,,,,,1.0,0.0
True,R_6mSAqNeJMvcdiq5,Yes,1.0,,,,,,0.0,
True,R_5wxlVamdcV0L4Yh,Yes,1.0,,,,,,1.0,0.0
True,R_7suW0fypVeWJt6E,Yes,1.0,,,,,,1.0,0.0
True,R_1s4rv8we7fsNJ74,Yes,1.0,,,,,,1.0,5.0
True,R_6Hxe8Ktz37QZ4UV,,,,,,,,,
True,R_7RPQttfyM7EXE5K,Yes,0.0,Personal Car,1.0,,35.0,,,
True,R_1oAOC95pOmuyJaN,Yes,1.0,,,,,,1.0,3.0
True,R_5m2lTvkxHIXiXKe,Yes,1.0,,,,,,0.0,
True,R_3mFa5wA1sV3wSMU,Yes,1.0,,,,,,0.0,
True,R_3nSHwmm3ijAyALz,Yes,0.0,Personal Car,1.0,,40.0,,,
True,R_5i4lGq5GuYZQMuk,Yes,0.0,Personal Car,1.0,,90.0,,,
True,R_1cdUrmGiGbFVxvg,Yes,1.0,,,,,,0.0,
True,R_5zuWkkqJ2a7wTDj,Yes,0.0,Personal Car,1.0,,3.0,,,
True,R_6wGJYD88BdQeiab,Yes,1.0,,,,,,0.0,
True,R_6itj7OooWpmIbaT,Yes,0.0,Personal Car,1.0,,120.0,,,
True,R_3K2otILnCTpi6rz,Yes,0.0,METRO Bus,3.0,,180.0,1.0,,
True,R_7oYLzEbPa75EmQw,Yes,0.0,Personal Car,1.0,,60.0,,,
True,R_71hL8Ba9kaOFhxU,Yes,0.0,METRO Bus,3.0,,240.0,3.0,,
True,R_57x7XQAVZrEm7kZ,Yes,0.0,Walking,6.0,,50.0,,,
True,R_67zUnxHzzf7zDSF,Yes,0.0,METRO Bus,3.0,,5.0,5.0,,
True,R_6wUphoFNPC6UblL,Yes,0.0,Personal Car,1.0,,45.0,,,
True,R_73zLqK3TDcsBjRn,Yes,1.0,,,,,,1.0,0.0
True,R_6rIEocg7Em1R2pz,Yes,0.0,Bicycle,5.0,,40.0,,,
True,R_52cLUSIoQogGzOV,Yes,0.0,Personal Car,1.0,,40.0,,,
True,R_36f4Ds8kW5rjJH0,Yes,0.0,Carpool,2.0,,25.0,,,
True,R_124KvGPhla8W6kE,Yes,0.0,METRO Rail,4.0,,4.0,3.0,,
True,R_3dSDv6aShLRkJ2p,Yes,1.0,,,,,,0.0,
True,R_60NiPKEDSiWOt1g,Yes,0.0,Personal Car,1.0,,70.0,,,
True,R_7xE0pnZHhXuSRQ2,Yes,1.0,,,,,,0.0,
True,R_6FIJLbf2pqjRP6l,Yes,0.0,Personal Car,1.0,,45.0,,,
True,R_172o6wUpb4jCG9C,,,,,,,,,
True,R_7iU5UT0Cwkdv04W,Yes,1.0,,,,,,1.0,3.0
True,R_5dpnZlHg7vlNc2l,Yes,1.0,,,,,,0.0,
True,R_3WvzoFFWDF9PVpO,Yes,1.0,,,,,,1.0,0.0
True,R_3Mf6npt5Xg3dTfb,Yes,0.0,Carpool,2.0,,45.0,,,
True,R_61bnDQQaUFeRR2y,Yes,1.0,,,,,,0.0,
True,R_6QnKtEntWeFITT5,Yes,0.0,Personal Car,1.0,,50.0,,,
True,R_3I4UAhSnNAMST0B,Yes,0.0,Personal Car,1.0,,90.0,,,
True,R_7CBgSVIQEr7qaKU,Yes,1.0,,,,,,1.0,5.0
True,R_3ClkGFUVMMdHVH2,Yes,1.0,,,,,,0.0,
True,R_7RjoEAXkbeEuWBz,Yes,0.0,Personal Car,1.0,,30.0,,,
True,R_7ixoam1P7kKRqZi,,,,,,,,,
