Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_index
1,3,7,7,2,0.1660555668540838
1,5,7,5,1,0.05448339632720672
1,1,7,7,1,-0.2952370166829236
1,1,6,3,2,-0.9141480745121424
1,4,7,1,4,-0.25248500845289046
1,1,7,5,4,-0.15516350733602433
1,4,7,3,3,-0.10738321243547616
3,4,7,4,5,0.671455029304529
3,3,5,4,4,-0.0027247150295198197
3,6,7,4,3,0.7049846547950663
1,2,7,3,1,-0.7112634486546405
5,7,7,3,5,1.355485913262926
5,5,6,4,2,0.5667429355991569
1,1,6,1,6,-0.6314869124830864
1,5,4,2,3,-0.6502349106945364
1,1,2,1,1,-2.0889044283428038
1,3,2,3,5,-0.9121594380597549
5,7,7,4,5,1.4993306376127113
5,6,6,6,4,1.298960155090467
1,1,6,3,1,-1.0567357271942992
1,1,1,1,1,-2.275024241455037
1,3,7,1,4,-0.4118374738803159
2,2,6,5,2,-0.292197054372193
1,1,6,1,1,-1.3444251758938703
7,7,7,5,7,2.2781688793527164
7,6,7,6,1,1.407135222182136
5,6,7,5,5,1.4838228965350715
2,1,7,6,1,-0.2641726350197562
1,4,6,5,1,-0.290988882212452
5,5,7,5,6,1.4670580837898028
5,1,7,5,5,0.6870605693979446
1,5,7,4,5,0.48098928270604824
1,5,7,6,2,0.3409157733591491
1,2,7,6,5,0.29062133512334326
1,2,5,3,1,-1.0835030748791072
1,7,7,3,4,0.5132618365289567
1,1,5,2,1,-1.386700264656318
1,5,6,5,5,0.43871419394360045
1,4,7,3,5,0.17779209292883735
1,1,6,3,2,-0.9141480745121424
3,4,5,5,3,0.15788482206553434
