Finished,ResponseId,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q15,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q9,Q10,Q10 ID,Q10_7_TEXT,Q11,Q12,Q13,Q16
True,R_5zMV7VOGtlPnjdF,Yes,3 / 3rd year,Engineering,No,I do not feel strongly for politics/ voting,No,No,No,Not at all,Less than once a month,Basically every day,Basically every day,Once,1,,,,,,1.0,2.0
True,R_7P9vj0sMI44ySJz,Yes,2 / 2nd year,Architecture,Yes,,No,No,No,Not at all,A few times a month,Basically every day,A few times a month,Not at all,1,,,,,,1.0,0.0
True,R_6mSAqNeJMvcdiq5,Yes,2 / 2nd year,Buisness,No,I chose not to vote,No,No,No,Not at all,Not at all,Basically every day,Basically every day,Not at all,1,,,,,,0.0,
True,R_5wxlVamdcV0L4Yh,Yes,2 / 2nd year,"Art, Music, Dance, Theater",No,I voted during Early Voting,No,No,No,Not at all,Not at all,A few times a week,Less than once a month,Once,1,,,,,,1.0,0.0
True,R_7suW0fypVeWJt6E,Yes,3 / 3rd year,Engineering,Yes,,No,Yes,No,Not at all,Once a month,Basically every day,Not at all,Once a month,1,,,,,,1.0,0.0
True,R_1s4rv8we7fsNJ74,Yes,3 / 3rd year,Natural Sciences and Mathematics,No,I chose not to vote,No,No,No,Not at all,Not at all,Basically every day,A few times a month,Once a month,1,,,,,,1.0,5.0
True,R_7RPQttfyM7EXE5K,Yes,2 / 2nd year,Engineering,No,"I did not know the election was taking place,I did not commute to campus that day",No,No,No,Not at all,Once a month,Basically every day,Less than once a month,Less than once a month,0,Personal Car,1.0,,35.0,,,
True,R_1oAOC95pOmuyJaN,Yes,3 / 3rd year,"Art, Music, Dance, Theater",No,"I voted at a another polling location,I voted during Early Voting",No,No,No,Less than once a month,Once a month,Basically every day,Once a month,A few times a month,1,,,,,,1.0,3.0
True,R_5m2lTvkxHIXiXKe,Yes,2 / 2nd year,Engineering,No,"I chose not to vote,The line was too long",No,No,No,Less than once a month,Less than once a month,A few times a month,Once a month,Once a month,1,,,,,,0.0,
True,R_3mFa5wA1sV3wSMU,Yes,3 / 3rd year,"Art, Music, Dance, Theater",No,"I voted at a another polling location,I voted during Early Voting",No,No,No,Less than once a month,A few times a week,Basically every day,Once a month,Less than once a month,1,,,,,,0.0,
True,R_3nSHwmm3ijAyALz,Yes,2 / 2nd year,Buisness,No,"I voted at a another polling location,I voted during Early Voting",No,No,No,Not at all,Once,Basically every day,Less than once a month,Not at all,0,Personal Car,1.0,,40.0,,,
True,R_5i4lGq5GuYZQMuk,Yes,4+ / 4th year and beyond,Liberal Arts and Social Sciences,No,I voted at a another polling location,Yes,Yes,Yes,A few times a month,Basically every day,Basically every day,Less than once a month,A few times a month,0,Personal Car,1.0,,90.0,,,
True,R_1cdUrmGiGbFVxvg,Yes,1 / 1st year,Liberal Arts and Social Sciences,No,I voted at a another polling location,No,Yes,No,A few times a month,A few times a month,A few times a week,Once a month,Once,1,,,,,,0.0,
True,R_5zuWkkqJ2a7wTDj,Yes,1 / 1st year,Engineering,Yes,,Yes,No,No,Not at all,Not at all,A few times a week,Not at all,A few times a week,0,Personal Car,1.0,,3.0,,,
True,R_6wGJYD88BdQeiab,Yes,2 / 2nd year,Liberal Arts and Social Sciences,No,I could not get transportation to the polling place,No,No,No,Not at all,A few times a month,Once a month,Once,Less than once a month,1,,,,,,0.0,
True,R_6itj7OooWpmIbaT,Yes,2 / 2nd year,Engineering,No,I chose not to vote,No,No,No,Not at all,Not at all,Once,Not at all,Not at all,0,Personal Car,1.0,,120.0,,,
True,R_3K2otILnCTpi6rz,Yes,4+ / 4th year and beyond,Liberal Arts and Social Sciences,No,I voted at a another polling location,No,No,No,Not at all,Less than once a month,Once,Less than once a month,A few times a month,0,METRO Bus,3.0,,180.0,1.0,,
True,R_7oYLzEbPa75EmQw,Yes,4+ / 4th year and beyond,Public Policy,Yes,,Yes,Yes,No,A few times a month,Basically every day,Basically every day,Once a month,A few times a month,0,Personal Car,1.0,,60.0,,,
True,R_71hL8Ba9kaOFhxU,Yes,3 / 3rd year,Buisness,Yes,,No,No,No,A few times a month,A few times a week,A few times a week,A few times a week,Once a month,0,METRO Bus,3.0,,240.0,3.0,,
